,genre,href
0,pop,https://embed.spotify.com/?uri=spotify:playlist:6gS3HhOiI17QNojjPuPzqc
1,dance pop,https://embed.spotify.com/?uri=spotify:playlist:2ZIRxkFuqNPMnlY7vL54uK
2,rap,https://embed.spotify.com/?uri=spotify:playlist:6s5MoZzR70Qef7x4bVxDO1
3,rock,https://embed.spotify.com/?uri=spotify:playlist:7dowgSWOmvdpwNkGFMUs6e
4,latin,https://embed.spotify.com/?uri=spotify:playlist:1IGB0Uz7x2VY28qMagUC24
5,pop rap,https://embed.spotify.com/?uri=spotify:playlist:5SrYLEPXnsfmK4ZuOCIKKm
6,hip hop,https://embed.spotify.com/?uri=spotify:playlist:6MXkE0uYF4XwU4VTtyrpfP
7,trap latino,https://embed.spotify.com/?uri=spotify:playlist:7MIkj5EbBCaUutUBEfGpEJ
8,trap,https://embed.spotify.com/?uri=spotify:playlist:60SHtDyagDjPnUpC7x1UD9
9,modern rock,https://embed.spotify.com/?uri=spotify:playlist:5HufsVvMDoIPr9tGzoJpW0
10,post-teen pop,https://embed.spotify.com/?uri=spotify:playlist:10FCW9lj0NdeoYI5VVvVtY
11,edm,https://embed.spotify.com/?uri=spotify:playlist:3pDxuMpz94eDs7WFqudTbZ
12,reggaeton,https://embed.spotify.com/?uri=spotify:playlist:0VKCDh1qcRXjMfDhGEXihm
13,latin pop,https://embed.spotify.com/?uri=spotify:playlist:5tRvNV4dHaAbqPORml4YFS
14,pop dance,https://embed.spotify.com/?uri=spotify:playlist:2HhaArHsOiofpUheCRPkLa
15,classic rock,https://embed.spotify.com/?uri=spotify:playlist:6NbtuNCQqvy9FXg1eYNqjJ
16,electropop,https://embed.spotify.com/?uri=spotify:playlist:1BYospE2cLB28m3i84dcTV
17,pop rock,https://embed.spotify.com/?uri=spotify:playlist:1voR0tqN6ZFkQ9QABvbCkZ
18,mellow gold,https://embed.spotify.com/?uri=spotify:playlist:49vErWAk7BLsLccmRxngH3
19,tropical house,https://embed.spotify.com/?uri=spotify:playlist:5Z4GsFxPRJiN9Qme2P9q6H
20,adult standards,https://embed.spotify.com/?uri=spotify:playlist:0FmeDxPXfsozPAyWv9uFjL
21,regional mexican,https://embed.spotify.com/?uri=spotify:playlist:0Vv6NMPjPTWbdPybFlryM4
22,r&b,https://embed.spotify.com/?uri=spotify:playlist:1rLnwJimWCmjp3f0mEbnkY
23,soft rock,https://embed.spotify.com/?uri=spotify:playlist:7ABVommvnBuEMEwF5tTxkW
24,permanent wave,https://embed.spotify.com/?uri=spotify:playlist:4EYSGTuqe9cVfSVpX4gtGv
